Date,Open,High,Low,Close,Adj Close,Volume,Days
2019-11-22,46.700001,47.200001,46.23,46.459999,46.459999,6344600,166
2019-11-25,46.5,49.330002,46.470001,48.939999,48.939999,9645800,167
2019-11-26,48.490002,49.785,48.169998,49,49,6769300,168
2019-11-27,49.290001,49.75,48.799999,49.369999,49.369999,3044300,169
2019-11-29,49,49.689999,48.650002,48.98,48.98,1702300,170
2019-12-02,49.080002,49.110001,47.169998,47.389999,47.389999,4324500,171
2019-12-03,46.549999,47.560001,46.080002,47.509998,47.509998,2870100,172
2019-12-04,47.810001,48.082001,46.939999,47.314999,47.314999,3144800,173
2019-12-05,47.09,47.18,44.049999,45.064999,45.064999,13027800,174
2019-12-06,45,45.450001,44.169998,45.200001,45.200001,5043100,175
2019-12-09,45.200001,46.09,44.880001,45.419998,45.419998,2771000,176
2019-12-10,45.689999,45.689999,45.07,45.259998,45.259998,2888300,177
2019-12-11,45.369999,47.550999,45.279999,47.360001,47.360001,3803000,178
2019-12-12,47.23,47.439999,46.470001,46.599998,46.599998,4694700,179
2019-12-13,46.740002,47.669998,46.599998,46.75,46.75,3011700,180
2019-12-16,47.060001,49.307999,46.98,47.93,47.93,9094200,181
2019-12-17,48.240002,48.25,47.220001,47.5,47.5,4077800,182
2019-12-18,47.27,47.639999,46.849998,47.009998,47.009998,3577200,183
2019-12-19,46.790001,47,46.02,46.279999,46.279999,4477700,184
2019-12-20,46.25,48.540001,46.220001,47.919998,47.919998,16993300,185
2019-12-23,47.91,48,45.259998,45.540001,45.540001,10834700,186
2019-12-24,45.619999,46.200001,45.610001,45.700001,45.700001,2512000,187
2019-12-26,45.700001,45.810001,45.009998,45.73,45.73,5179100,188
2019-12-27,45.900002,46.200001,45.169998,45.84,45.84,4454600,189
2019-12-30,45.599998,45.674,43.049999,43.5,43.5,8655100,190
2019-12-31,43,43.605,42.776001,43.02,43.02,5499600,191
2020-01-02,43.220001,44.07,43.165001,43.580002,43.580002,3912100,192
2020-01-03,42.849998,43.360001,42.233002,43.189999,43.189999,4407200,193
2020-01-06,42.790001,43.810001,42.380001,43.099998,43.099998,4964600,194
2020-01-07,43.18,44.700001,43.029999,44.25,44.25,4773500,195
2020-01-08,44.139999,45.740002,43.869999,45.080002,45.080002,5636300,196
2020-01-09,45.16,45.959999,44.52,45.59,45.59,4640800,197
2020-01-10,45.59,46.240002,45.360001,46.060001,46.060001,4512000,198
2020-01-13,46.310001,46.450001,45.130001,46.349998,46.349998,3796300,199
2020-01-14,46.360001,48,46.259998,47.68,47.68,4940500,200
2020-01-15,47.639999,48.060001,46.84,47.080002,47.080002,3179900,201
2020-01-16,47.549999,47.549999,46.110001,46.830002,46.830002,3354500,202
2020-01-17,47,47,46.02,46.52,46.52,3498700,203
2020-01-21,46.5,48.77,46.360001,47.98,47.98,6253100,204
2020-01-22,48.189999,48.950001,47.32,47.470001,47.470001,4134700,205
2020-01-23,47.48,48.919998,47.099998,48.48,48.48,4143100,206
2020-01-24,48.669998,49.540001,47.619999,48.43,48.43,5475100,207
2020-01-27,46.830002,47.650002,46.130001,47.360001,47.360001,3803000,208
2020-01-28,47.77,48.349998,47.459999,48.209999,48.209999,2876600,209
2020-01-29,47.970001,48.639999,46.360001,46.84,46.84,7489400,210
2020-01-30,46.650002,47.889999,46.5,47.790001,47.790001,3100600,211
2020-01-31,47.41,47.669998,46.48,47.48,47.48,4001500,212
2020-02-03,47.630001,48.59,47.32,47.959999,47.959999,2659500,213
2020-02-04,48.5,50.959999,48.110001,50,50,8123600,214
2020-02-05,50.400002,50.470001,47.700001,48.060001,48.060001,6061900,215
2020-02-06,48.450001,48.669998,46.830002,47.419998,47.419998,7127500,216
2020-02-07,49.099998,50.040001,47.580002,49.919998,49.919998,12516200,217
2020-02-10,50.82,53.919998,50.330002,53.720001,53.720001,15370400,218
2020-02-11,54.490002,54.5,52.919998,53.939999,53.939999,20414400,219
2020-02-12,51.25,51.299999,48.419998,48.459999,48.459999,36622800,220
2020-02-13,48.450001,49.389999,47,47.029999,47.029999,15660200,221
